Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],G. calida [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%],Foram plankt oth [%],Foram plankt [#],Sample comment (Author or institute)
A150/180,A167-1TW,37.65,-72.95,,-2706,0,0,3.1,0,0,2.9,0,0,0,12.5,0.4,2,0.7,0,30.5,6.6,0,1.8,1.3,32.9,0,0,0,0,1.1,0,0.7,0.7,0,0,0.4,0.2,0.7,0.7,0.7,0,7.2,20,12.9,0.8,456,CLIMAP Project Members
A150/180,A179-13,23.9333,-75.75,,-1847,0,6.2,0,1.4,0,1.1,0,0,0,0.6,0.3,9.6,0,0,0,0,0.6,0,0,0,0,0,0,2.3,53.9,3.1,2.5,0.9,0.3,9.3,1.6,4.6,6.5,0,1.4,0,0.6,0,0,0,367,Gif-sur-Yvette
A150/180,A179-15,24.8,-75.9333,,-3109,0,6.6,0.3,1.2,0,0.9,0,0,0,0.9,0,12.2,0.3,0,0,0.3,0,0,0,0,0,0,0,3.6,46.9,6.3,4.8,0.9,0,11.6,1.2,0.9,2.1,0,1.2,0,0.3,0,0,0,343,Gif-sur-Yvette
A150/180,A179-20,30.7833,-67.6667,,-4993,0,2.6,14.5,0,0,1.1,0,0,0.3,1.6,0.3,2.4,4,0.5,6.9,0,0,0.3,0,0,0,0,0,0.3,52.6,0,1.6,0.3,0,0.3,7.2,2.1,9.5,0,1.3,0,0,0,0,0,387,Gif-sur-Yvette
A150/180,A179-24,35.7667,-69.0833,,-4663,0,5.4,5.8,3.1,0,0.9,0,0,0.4,8.7,1.1,8.4,3.6,0.5,15.4,2,0,6,0.2,1.5,0,0,0,0.7,16,0,7.3,3.3,0,0,5.3,0.9,6.2,1.1,2.2,0,3.5,0.7,0.7,0,551,CLIMAP Project Members
A150/180,A179-6,19.4,-78.55,,-4731,0,5.6,0,1.5,0,0,0.9,0,0,4.4,0.9,6.5,0,0,0.3,4.2,0.3,0,0.3,0,0,0,0,6.8,45.9,0.9,11.8,3.5,0.6,0.3,0,2,2.1,0.9,2.3,0,5.3,0,0,0,355,Gif-sur-Yvette
A150/180,A179-7,19.917,-73.833,,-2926,0,15.5,0,2,0,0.5,0,0,0,2.3,0.3,20.6,0,0,0,5.2,0.3,0,0,0,0,0,0,7.6,27.2,1.8,6.9,0.5,0.5,2,0,2,2,0.7,4.1,0,6.1,0,0,0,403,Gif-sur-Yvette
A150/180,A180-15,39.267,-36.7,01/01/1960,-4610,0,1.4,17.8,0.2,0,0.2,0,0,0.5,2.4,13.3,9,5.4,0.5,11,0.2,0,0,0.7,4,0,0,0.5,0.9,15.5,0,1.2,0.5,3.8,0.5,5.4,1.4,6.9,0,0.5,0,0.2,1.9,2.1,3.5,423,CLIMAP Project Members
A150/180,A180-20,33.333,-27.367,01/01/1960,-4040,0,2.2,11,0.4,0,0.2,0,0,0,0,16.2,9.1,3,0.6,9.1,0.4,0,0,0,3.2,0,0,0.2,0.4,23.4,0,1.9,1.1,4.4,2.5,3.8,2.8,6.6,0,0.6,0,0.4,0,0,3.9,472,CLIMAP Project Members
A150/180,A180-39,25.833,-19.2998,01/01/1960,-3470,0,3.4,1.7,0.9,0,0,0.6,0,0,1.1,7.1,7.3,0,0,10.1,1.9,0,1.5,0.6,7.3,0,0,0,2.2,22.2,1.5,9.9,4.5,0.2,1.7,6.9,1.1,8,0,1.5,0,1.9,0,0,4.8,464,CLIMAP Project Members
A150/180,A180-70,3.65,-18.3,,-4846,0,1.3,0,0,0,0.5,3.2,3.2,1.1,15.3,0,0.5,0,0,0,11.1,0,13.7,0.3,0,0,0,0.3,0,2.6,0,5,3.9,0,0.3,0,0,0,37.5,0.3,0,48.6,0,0,0,380,CLIMAP Project Members
A150/180,A180-72,0.6,-21.7833,,-3841,0,4.9,0,0.3,0,0,0.7,0,0,2.3,3.3,14.4,0,0,0,4.6,0,2,0,0.7,0,0,0,4.6,35.6,1.3,7.2,9.5,2,0.3,0.3,0,0.3,0.3,1.3,0,4.9,0.7,0,4.4,306,CLIMAP Project Members
A150/180,A180-76,-0.7667,-26.0333,,-3512,0,1.2,0,0.3,0,0.3,0.9,0,0.3,2,1.7,9.6,0,0,0,5.5,0,6.4,0,0.3,0,0,0,4.3,38.6,0.9,17.4,5.8,0.3,0.3,0,0.3,0.3,1.2,1.4,0,6.7,0,0.3,1,345,CLIMAP Project Members
A150/180,A180-78,-1.5,-27.0167,,-4261,0,3.1,0,0.9,0,0,0.9,0,0.3,5.6,0.3,2.8,0,0,0,12.5,0,13.2,0,6.3,0,0,0,0,16,0.3,13.2,10,0,0,0,2.5,2.5,9.4,0.3,0,21.9,5.6,0.7,2.4,319,CLIMAP Project Members
A150/180,A260210A,-29.1332,-34.5667,01/01/1960,-2974,0,4.6,0.6,0,0,1.7,0,0,1.1,0.1,7.7,9.4,2.3,0,3,1.5,0,0,0,0.7,0,0,0,3.1,42.7,0.7,2.3,2.1,3.2,3,0.5,6.3,6.8,0.2,0.9,0,1.7,0.1,0.6,2.3,851,CLIMAP Project Members
A181/185,A181-7,10.55,-57.3167,,-3766,0,5,0,1.4,0,1.2,0.8,0,0,6.6,0,3.8,0,0,0,2.2,1,0.8,0,0,0,0,0,22,34.2,0,10.4,8,0.2,0,0,0.4,0.4,0.6,1.8,0,2.8,0,0,0.4,505,CLIMAP Project Members
A181/185,A181-9,20.7332,-59.2,,-5215,0,3.2,0,0.2,0,10,0.5,0.5,0,5.2,0,0,0,0,0,1,0,0.2,0,0,0,0,0.2,1,53,0,8.7,6.2,0,0,2,2.2,4.2,4.7,0.2,0,5.7,0,0,1,402,CLIMAP Project Members
ANT-IV/1c,GIK16453-2,4.7333,-20.9417,20/10/1985,-2675,0,4.3,1.8,0.2,0,1.6,1.2,0.2,0.6,4.8,0.1,6.1,0,0,0.2,2.6,0.1,0.9,0,1.3,0,0,0,3.9,30.3,0.5,22.4,9.9,0.5,0.8,0.6,0.2,0.8,2.6,2.1,0,5.2,0,0,0.5,787,Uwe Pflaumann
ANT-IV/1c,GIK16455-1,5.27,-22.865,20/10/1985,-4160,0,5,0.9,0.7,0,1.3,0.7,0.1,1.1,4,0,4.9,0,0,0,2.7,0,1,0,0.7,0,0,0,1.6,31.9,0.2,22.8,14.8,0.7,0.6,0.1,0,0.1,2.3,1.7,0,5,0,0,0.2,1023,Uwe Pflaumann
ANT-IV/1c,GIK16457-1,5.3917,-21.72,22/10/1985,-3291,0,4.4,2.6,0.8,0,0.4,0.5,0,0.3,3.7,0.1,8.2,0,0,0.2,1.5,0.1,0.4,0,1.3,0,0,0,2.3,32.5,0.6,20.5,13.7,0.5,0.7,0.3,0.1,0.4,1.8,2.3,0,3.3,0,0,0.4,1094,Uwe Pflaumann
ANT-IV/1c,GIK16458-2,5.335,-22.055,22/10/1985,-3518,0,5,2.1,0.3,0,1.6,0.5,0.1,0.7,4.3,0,10.9,0,0,0.1,1.6,0.2,0.5,0,1.5,0,0,0,2,33.3,0.1,20,8.7,0.7,0.8,0.2,0,0.2,2.9,2.1,0,4.5,0,0,0,1129,Uwe Pflaumann
ARK-II/4,PS1229-1,75.8267,11.46,12/08/1984,-2120,0,0,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,93.2,2.9,1.7,1.2,2.9,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,Uwe Pflaumann
ARK-II/4,PS1230-1,78.8553,-4.7812,16/08/1984,-1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,336,Uwe Pflaumann
ARK-II/4,PS1231-2,78.907,-3.9888,16/08/1984,-1982,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.6,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,692,Uwe Pflaumann
ARK-II/4,PS1232-1,79.0213,-1.6633,17/08/1984,-2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,Uwe Pflaumann
ARK-II/4,PS1235-1,78.8592,1.3098,20/08/1984,-2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2,0.3,1.6,1.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,397,Uwe Pflaumann
ARK-II/5,PS1238-1,66.9983,7.74,01/09/1984,-989,0,0,4.4,0,0,0,0,0,0,0.4,0,4,0,0,0.4,0,0,0,29.1,55.3,4.8,1.6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,Uwe Pflaumann
ARK-II/5,PS1239-1,67.5015,8.444,01/09/1984,-1543,0,0,5.8,0,0,0,0,0,0,0,0,0.9,0,0,0.2,0,0,0,30.4,54.2,4.1,4.3,8.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,Uwe Pflaumann
ARK-II/5,PS1241-1,68.3022,3.6692,02/09/1984,-1886,0,0,4.9,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,50.9,25.7,8.5,7.1,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,514,Uwe Pflaumann
ARK-II/5,PS1243-1,69.3718,-6.553,03/09/1984,-2711,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,68.3,6.6,14.7,9.8,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,Uwe Pflaumann
ARK-II/5,PS1244-1,69.3652,-8.657,13/09/1984,-2127,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,0.8,1.8,1.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,Uwe Pflaumann
ARK-II/5,PS1246-1,69.3853,-12.8748,14/09/1984,-1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.4,1.5,1.4,1.7,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,Uwe Pflaumann
ARK-II/5,PS1249-1,69.4967,-19.47,15/09/1984,-856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,1.5,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,327,Uwe Pflaumann
ARK-III/3,PS1289-1,77.9983,9.4167,30/07/1985,-616,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,1.1,4.6,2.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,Uwe Pflaumann
ARK-III/3,PS1290-3,78.0032,8.7285,30/07/1985,-1522,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,1.9,6.8,3.5,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,Uwe Pflaumann
ARK-III/3,PS1291-3,78.0067,8.0663,31/07/1985,-2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2,0,0.3,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,Uwe Pflaumann
ARK-III/3,PS1292-3,78,7.4233,31/07/1985,-3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3,0.3,2.1,2.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,Uwe Pflaumann
ARK-III/3,PS1293-3,77.9983,6.7016,31/07/1985,-2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,0.8,2,2.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,494,Uwe Pflaumann
ARK-III/3,PS1294-3,78.0016,5.3467,31/07/1985,-2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.2,0.5,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,429,Uwe Pflaumann
ARK-III/3,PS1295-4,77.9982,2.4682,01/08/1985,-3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,0.9,0.7,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,Uwe Pflaumann
ARK-III/3,PS1296-3,77.995,0.5533,01/08/1985,-3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.5,0.2,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,Uwe Pflaumann
ARK-III/3,PS1298-3,78.0033,-3.505,02/08/1985,-2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,Uwe Pflaumann
ARK-III/3,PS1299-1,77.9867,-4.2783,02/08/1985,-2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,Uwe Pflaumann
ARK-III/3,PS1301-2,77.9967,-6.5783,02/08/1985,-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,Uwe Pflaumann
ARK-III/3,PS1309-3,80.0017,-3.0167,05/08/1985,-2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8,0.6,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,Uwe Pflaumann
ARK-III/3,PS1310-4,80.0033,-0.8167,05/08/1985,-2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0.3,1,0.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,607,Uwe Pflaumann
ARK-III/3,PS1311-3,79.97,0.2,06/08/1985,-2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8,2.4,1,1.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,Uwe Pflaumann
ARK-III/3,PS1312-3,80.0033,1.1833,06/08/1985,-3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.9,2.7,7.9,4.5,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,Uwe Pflaumann
ARK-III/3,PS1313-3,79.985,2.81,06/08/1985,-2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1,2.6,6.9,5.4,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,Uwe Pflaumann
ARK-III/3,PS1318-4,79.7283,2.9583,12/08/1985,-4469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,0.3,0.9,0.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,Uwe Pflaumann
ARK-IV/3,PS1529-7,85.39,21.775,08/10/1987,-2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3,0.4,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,534,Uwe Pflaumann
ARK-IV/3,PS1530-3,83.4067,19.9717,14/08/1987,-4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Uwe Pflaumann
ARK-IV/3,PS1532-1,82.7967,16.0683,15/08/1987,-1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,658,Uwe Pflaumann
ARK-IV/3,PS1534-6,81.325,15.3067,16/08/1987,-2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6,1,1.2,0.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,410,Uwe Pflaumann
ARK-IV/3,PS1535-5,78.75,1.775,24/08/1987,-2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6,1.2,0.2,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,420,Uwe Pflaumann
ARK-V/2,PS1706-1,74.25,-10.0583,28/07/1988,-3011,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0.4,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,497,Uwe Pflaumann
ARK-V/2,PS1707-1,72.6166,-13.84,30/07/1988,-2118,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,1.5,0.6,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,543,Uwe Pflaumann
ARK-X/2,PS2613-1,74.1767,-0.3917,19/08/1994,-3257,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,98.7,0.9,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,1524,Uwe Pflaumann
ARK-X/2,PS2616-7,75.005,-7.2033,21/08/1994,-3401,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,531,Uwe Pflaumann
ARK-X/2,PS2627-5,73.1233,-15.6817,03/09/1994,-2009,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,1.7,0.3,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,906,Uwe Pflaumann
ARK-X/2,PS2656-2,65.845,-4.0667,03/10/1994,-3758,0,0,1.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,53.6,3.8,24.3,16.7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,1183,Uwe Pflaumann
ARK-XIII/2,PS2837-6,81.2332,2.4178,12/07/1997,-1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3.1,5.2,3.8,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,1198,Uwe Pflaumann
ARK-XIII/3,PS2876-1,81.759,-9.4355,24/08/1997,-1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1043,Uwe Pflaumann
CD63,10-4bx,46.63,-13.2733,,-4522,0,0.6,17.4,1.7,0,0,0,0,0.1,0,0.1,12.9,0,0.3,12.2,0.3,0,0,0.3,46.2,0,0,0.3,0,2.9,0,0,0,1.2,0,0.1,1.7,1.8,0,1.4,0,0.3,3.5,42.7,0.7,723,"Jane Swallow, IOS"
CD63,11-4bx,46.0683,-12.4717,,-4740,0,1.2,20.6,1.4,0,0,0,0,0,0,0.5,12.6,0.1,0.1,9,0,0,0,0.5,45.9,0,0,0,0,1.8,0,0,0,1.5,0,0,1.9,1.9,0,2.4,0,0,4.1,41.8,0.4,776,"Jane Swallow, IOS"
CD63,12-1bx,45.875,-13.0817,,-4789,0,1.4,22.2,0.7,0,0,0,0,0.2,0,0,10.9,0.2,0,12,0.2,0,0,0.4,41.2,0,0,0.2,0,3.2,0,0,0,0.9,0,0.2,2.2,2.3,0,3,0,0.2,2.7,38.5,0.9,558,"Jane Swallow, IOS"
CD63,14-3bx,47.6633,-14.425,,-4540,0,0.4,21.9,2.1,0,0,0,0,0.1,0,0,13,0,0,11.3,0.1,0,0,1.8,39.3,0,0.4,0.8,0,2.3,0,0,0,2.5,0,0.3,1.7,2,0,1.6,0,0.1,3.5,35.8,0.7,706,"Jane Swallow, IOS"
CD63,3-4bx,46.5133,-11.5033,,-4772,0,0.7,18.7,0.3,0,0,0,0,0,0,0.1,9,0,0.3,13,0,0,0,1,49.9,0,0.1,0.4,0,2.4,0,0,0,0.9,0,0,1,1,0,1.9,0,0,4.2,45.7,0.6,667,"Jane Swallow, IOS"
CD63,5-4bx,42.69,-20.0283,,-5287,0,0,10.1,0.9,0,0,0,0,0,0,0,5.5,0.2,1.5,28.9,0.3,0,0,0.5,43.4,0,0,0,0,1.7,0,0.3,0,0.2,0,0.9,4.3,5.1,0,1.4,0,0.3,2.2,41.2,1.5,585,"Jane Swallow, IOS"
CD63,9-3bx,46.4217,-12.54,,-3892,0,0.8,25.9,1,0,0,0,0,0.1,0,0.7,12,0.2,0.1,11.2,0.3,0,0,2.5,34.9,0,0.4,1.4,0,2.3,0,0,0.1,1.6,0,0.3,2.3,2.6,0,1.7,0,0.3,2.5,32.3,0.8,1076,"Jane Swallow, IOS"
CH10,CH10_82_51601-1,51.0867,-12.915,,-1998,0,0,20.3,3.1,0,0,0,0,0,0,0.3,14,0,0,10.9,0,0,0,0.6,41.7,0,0,6,0,0,0,0,0,2.8,0,0,0.3,0.3,0,0,0,0,3.7,38,0,352,"Jane Swallow, IOS"
CH10,CH10_82_51603-1,50.3083,-13.33,,-2870,0,0,21.8,1.5,0,0,0,0,0.7,0,0,14.1,0.2,0,8.8,0,0,0,0.9,42.4,0,0,5.5,0,0.2,0,0,0,2.6,0,0.4,0.7,1.1,0,0.2,0,0,4.8,37.6,0,458,"Jane Swallow, IOS"
CH10,CH10_82_51605-1,50.09,-13.86,,-3420,0,0,22.8,1.4,0,0,0,0,0.4,0,0,16.8,0,0,9.1,0,0,0,0,42.5,0,0,4.6,0,0.4,0,0,0,0.4,0,0,0.4,0.4,0,1.1,0,0,4.9,37.6,0.1,285,"Jane Swallow, IOS"
CH10,CH10_82_51606-1,49.745,-14.1317,,-4092,0,0,20.7,1.5,0,0,0,0,0.3,0,0,10.2,0,0.3,10.9,0.5,0,0,1.3,46,0,0,2.8,0,0.3,0,0,0,2.5,0,0.3,1.3,1.6,0,1,0,0.5,3.8,42.2,0.6,394,"Jane Swallow, IOS"
CH10,CH10_82_51607-1,49.4883,-14.6967,,-4495,0,0.2,25.9,1.5,0,0,0,0,0,0,0.2,10.1,0,0,11.8,0.5,0,0,1.5,43.2,0,0,1.7,0,0.5,0,0,0,1.5,0,0.2,0,0.2,0,0.5,0,0.5,2,41.2,0.7,407,"Jane Swallow, IOS"
CH10,CH10_82_51612-1,50.3533,-13.385,,-2692,0,0,22.1,1.3,0,0,0,0,0,0,0.3,17.1,0,0,9.3,0,0,0,0.3,41.3,0,0,4.8,0,0.3,0,0,0,2.9,0,0,0.3,0.3,0,0,0,0,3.2,38.1,0,377,"Jane Swallow, IOS"
